"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"TM.VAL.MRCH.R3.ZS","Importations de marchandises des pays en développement d’Amérique latine et des Caraïbes (% des importations totales de marchandises)","Les importations de marchandises des économies en développement en Amérique latine et Caraïbes sont la somme des importations de marchandises par l’économie déclarante provenant d’économies en développement de l’Amérique latine et Caraïbes selon la classification des économies de la Banque mondiale. Les données sont exprimées en pourcentage des importations totales de marchandises de l’économie. Les données sont seulement calculées si au moins la moitié des économies du groupe de pays partenaires avait des données non manquantes.","Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.",
"TM.VAL.MRCH.HI.ZS","Importations de marchandises des pays à revenu élevé (% des importations totales de marchandises)","Les importations de marchandises des économies à revenu élevé correspondent à la somme des importations de marchandises par l’économie déclarante provenant des économies à revenu élevé, selon la classification des économies de la Banque mondiale. Les données sont exprimées en pourcentage des importations totales de marchandises de l’économie. Les données sont seulement calculées si au moins la moitié des économies du groupe de pays partenaires avait des données non manquantes.","Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.",
"TM.VAL.MANF.ZS.UN","Importations de biens manufacturés (% des marchandises importées)","Les biens manufacturés comprennent les produits des sections 5 de la CTCI (produits chimiques), 6 (biens manufacturés de base), 7 (machinerie et équipement de transport), et 8 (biens manufacturés divers), sauf la division 68 (métaux non ferreux).","Estimations du personnel de la Banque mondiale issues de la base de données Comtrade maintenue par la Division des Statistiques des Nations Unies.",
"TM.VAL.FOOD.ZS.UN","Importations de nourriture (% des marchandises importées)","La nourriture comprend les marchandises de la section 0 de la CTCI (nourriture et animaux vivants), 1 (boissons et tabac), et 4 (huiles et graisses végétales et animales) et la division 22 de la CTCI (oléagineux, huile de noix et huile d'amande).","Estimations du personnel de la Banque mondiale issues de la base de données Comtrade maintenue par la Division des Statistiques des Nations Unies.",
"TM.TAX.TCOM.WM.AR.ZS","Taux des droits de douane, appliqués, moyenne pondérée, produits de base (%)","La moyenne pondérée des taux de droits de douane appliqués est la moyenne des taux de douane effectivement appliqués par les nations pondérée au moyen des parts d'importations de produits correspondant à chaque pays partenaire. Les données sont classées au moyen du Système harmonisé de commerce au niveau du sixième ou huitième chiffre. Les données sur la ligne tarifaire ont été alignées à la Classification type pour le commerce international (CTCI), codes de la Révision 3, afin de définir les groupes de produits de base et les pondérations des importations. Dans la mesure du possible, les taux spécifiques ont été convertis à leurs propres taux équivalents ad valorem et ont été inclus dans le calcul de la moyenne pondérée des droits de douane. Les pondérations des importations ont été calculées en utilisant la base de données sur le commerce des produits de base (Comtrade) de la Division des statistiques des Nations Unies. La moyenne des droits de douane réellement appliqués au sixième et huitième niveau de produit est calculée pour les produits de chaque groupe de produits de base. Lorsque le taux réellement appliqué n'est pas disponible, celui des nations les plus favorisées est utilisé à la place. Les produits primaires sont des produits de base classées dans la révision 3 de la CTCI aux sections 0 à 4 et à la division 68 (métaux non ferreux).","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement, ainsi que de la base de données intégrée (BDI) et des listes de tarifs codifiés (CTS) de l'Organisation mondiale du commerce (OMC).",
"TM.TAX.TCOM.IP.ZS","Part des lignes tarifaires douanières représentant des maximums internationaux, produits de base (%)","La part des lignes tarifaires douanières représentant des maximums internationaux est la part des lignes dans le tableau tarifaire ayant des taux de droits de douane supérieurs à 15 %. Elle offre une indication de la manière dont les droits de douane sont appliqués de manière sélective. Les produits primaires sont des produits de base classées dans la révision 3 de la CTCI aux sections 0 à 4 et à la division 68 (métaux non ferreux).","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement.",
"TM.TAX.MRCH.WM.AR.ZS","Taux des droits de douane, appliqués, moyenne pondérée, tous produits (%)","La moyenne pondérée des taux de droits de douane appliqués est la moyenne des taux de douane effectivement appliqués par les nations pondérée au moyen des parts d'importations de produits correspondant à chaque pays partenaire. Les données sont classées au moyen du Système harmonisé de commerce au niveau du sixième ou huitième chiffre. Les données sur la ligne tarifaire ont été alignées à la Classification type pour le commerce international (CTCI), codes de la Révision 3, afin de définir les groupes de produits de base et les pondérations des importations. Dans la mesure du possible, les taux spécifiques ont été convertis à leurs propres taux équivalents ad valorem et ont été inclus dans le calcul de la moyenne pondérée des droits de douane. Les pondérations des importations ont été calculées en utilisant la base de données sur le commerce des produits de base (Comtrade) de la Division des statistiques des Nations Unies. La moyenne des droits de douane réellement appliqués au sixième et huitième niveau de produit est calculée pour les produits de chaque groupe de produits de base. Lorsque le taux réellement appliqué n'est pas disponible, celui des nations les plus favorisées est utilisé à la place.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement, ainsi que de la base de données intégrée (BDI) et des listes de tarifs codifiés (CTS) de l'Organisation mondiale du commerce (OMC).",
"TM.TAX.MRCH.IP.ZS","Part des lignes tarifaires douanières représentant des maximums internationaux, tous produits (%)","La part des lignes tarifaires douanières représentant des maximums internationaux est la part des lignes dans le tableau tarifaire ayant des taux de droits de douane supérieurs à 15 %. Elle offre une indication de la manière dont les droits de douane sont appliqués de manière sélective.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement.",
"TM.TAX.MANF.WM.AR.ZS","Taux des droits de douane, appliqués, moyenne pondérée, produits manufacturés (%)","Weighted mean applied tariff is the average of effectively applied rates weighted by the product import shares corresponding to each partner country. Data are classified using the Harmonized System of trade at the six- or eight-digit level. Tariff line data were matched to Standard International Trade Classification (SITC) revision 3 codes to define commodity groups and import weights. To the extent possible, specific rates have been converted to their ad valorem equivalent rates and have been included in the calculation of weighted mean tariffs. Import weights were calculated using the United Nations Statistics Divisions Commodity Trade (Comtrade) database. Effectively applied tariff rates at the six- and eight-digit product level are averaged for products in each commodity group. When the effectively applied rate is unavailable, the most favored nation rate is used instead. Manufactured products are commodities classified in SITC revision 3 sections 5-8 excluding division 68.","Estimations du personnel de la Banque mondiale utilisant la plateforme WITS (World Integrated Trade Solution), à partir des données du Système d'analyse et d'information sur le commerce (TRAINS) de la Conférence des Nations Unies sur le commerce et le développement et des bases de données de l’OMC (Base de données intégrée et Base de données sur les listes tarifaires codifiées).",
"TM.TAX.MANF.IP.ZS","Part des lignes tarifaires douanières représentant des maximums internationaux, produits manufacturés (%)","La part des lignes tarifaires douanières représentant des maximums internationaux est la part des lignes dans le tableau tarifaire ayant des taux de droits de douane supérieurs à 15 %.  Elle offre une indication de la manière dont les droits de douane sont appliqués de manière sélective. Les produits manufacturés sont des produits de base classés dans la révision 3 de la CTCI aux sections 5 à 8, à l'exclusion de la division 68.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement.",
"TG.VAL.TOTL.GD.ZS","Commerce de marchandises (% du PIB)","Le commerce de marchandises comme part du PIB est la somme des exportations de marchandises et des importations divisée par la valeur du PIB, exprimée en dollars actuels.","Organisation mondiale du commerce et les estimations de la Banque mondiale pour le PIB.",
"ST.INT.TVLR.CD","Tourisme international, dépenses pour les postes de déplacement ($ US courants)","Les dépenses de tourisme international pour les postes de déplacement sont des dépenses effectuées par les visiteurs entrants dans l'économie déclarante. Les biens et les services sont achetés par, ou pour le compte du voyageur ou fournis, sans contrepartie, pour que le voyageur les utilise ou en face don. Ces dépenses devraient comprendre tout autre prépaiement effectué pour les biens et les services reçus dans le pays de destination. Elles peuvent également comprendre les dépenses effectuées par les visiteurs d'une journée, sauf dans les cas où elles sont trop importantes pour justifier une classification séparée. Est exclu le transport international des voyageurs qui est couvert dans les postes de déplacement des voyageurs. Les données sont en dollars américains courants.","Annuaire des statistiques sur le tourisme, recueil de statistiques et fichiers de données de l’Organisation mondiale du tourisme.",
"ST.INT.RCPT.CD","Tourisme international, rentrées ($ US courants)","Les dépenses du tourisme international sont les dépenses effectuées par les visiteurs internationaux entrants, comprenant les paiements destinés aux transporteurs nationaux pour le transport international. Ces dépenses comprennent tout autre prépaiement effectué pour les biens et les services reçus dans le pays de destination. Elles peuvent également comprendre les dépenses effectuées par les visiteurs pour la journée, sauf quand celles-ci sont assez importantes pour justifier une classification séparée. Pour certains pays, elles ne comprennent pas les dépenses pour le transport de voyageurs. Les données sont en dollars américains courants.","Annuaire des statistiques sur le tourisme, recueil de statistiques et fichiers de données de l’Organisation mondiale du tourisme.",
"SP.URB.TOTL.IN.ZS","Population urbaine (% du total)","Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.","Perspectives d'urbanisation du monde, Nations Unies.",
"SP.RUR.TOTL.ZG","Croissance de la population rurale (% annuel)","La population rurale fait référence aux personnes vivant en milieu rural tel que défini par les bureaux nationaux de statistiques. Elle est calculée en faisant la différence entre la population totale et la la population urbaine. Elle est calculée en faisant la différence entre la population totale et la la population urbaine.","Estimations du personnel de la Banque mondiale utilisant les Perspectives des Nations Unies de l'urbanisation de la population mondiale.  ",
"SP.REG.BRTH.UR.ZS","Exhaustivité de l’enregistrement des naissances, zones urbaines (%)","L'exhaustivité de l'enregistrement des naissances est le pourcentage d'enfants de moins de cinq ans dont la naissance a été enregistrée au moment de l'enquête.  Le numérateur de l'exhaustivité de l'enregistrement des naissances comprend les enfants dont les certificats de naissance ont été vus par l'enquêteur ou ceux dont la mère ou le tuteur affirme que la naissance a été enregistrée.","UNICEF, La situation des enfants dans le monde basé principalement sur les enquêtes-ménages et les données du ministère de la santé.",
"SP.POP.TOTL.MA.ZS","Population, hommes (% du total)","","",
"SP.POP.TOTL","Population, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","1) Division de la population des Nations Unies. World Population Prospects, (2)  la Division de statistique  Nations Unies. Population et le rapport de l'état civil (diverses années), (3) rapports de recensement et autres publications statistiques des bureaux nationaux de statistiques, (4) Eurostat: statistiques démographiques, (5) Secrétariat de la Communauté du Pacifique: programme de statistiques et de la démographie, et (6) Bureau de recensement américain: base de données internationale.",
"SP.POP.DPND.YG","Ratio de la population inactive à la population active, enfants (% de la population en âge de travailler)","Le ratio de la population inactive, jeune, est le ratio des personnes inactives plus jeunes, les personnes âgées de moins de 15 ans par rapport à la population en âge de travailler, les personnes âgées de 15 à 64 ans. Les données sont montrées comme la proportion des personnes inactives par rapport à 100 personnes en âge de travailler.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.80UP.MA.5Y","Population âgée de 80 ans et plus, hommes (% de la population masculine)","Male population between the ages 80 and above as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.7074.MA.5Y","Population âgée de 70 à 74 ans, hommes (% de la population masculine)","Male population between the ages 70 to 74 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.65UP.MA.ZS","Population âgée de plus de 65 ans, hommes (% du total)","","",
"SP.POP.6569.MA.5Y","Population âgée de 65 à 69 ans, hommes (% de la population masculine)","Male population between the ages 65 to 69 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.5559.MA.5Y","Population âgée de 55 à 59 ans, hommes (% de la population masculine)","Male population between the ages 55 to 59 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.4549.MA.5Y","Population âgée de 45 à 49 ans, hommes (% de la population masculine)","Male population between the ages 45 to 49 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.3539.MA.5Y","Population âgée de 35 à 39 ans, hommes (% de la population masculine)","Male population between the ages 35 to 39 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.2529.MA.5Y","Population âgée de 25 à 29 ans, hommes (% de la population masculine)","Male population between the ages 25 to 29 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.1564.TO.ZS","Population âgée de 15 à 64 ans (% du total)","La population âgée de 15 à 64 ans est le pourcentage de la population totale qui se situe dans le groupe d’âge des 15 à 64 ans. La population est basée sur la définition de facto de la population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.1564.FE.ZS","Population âgée de 15 à 64 ans, femmes (% du total)","","",
"SP.POP.1014.MA.5Y","Population âgée de 10 à 14 ans, garçons (% de la population masculine)","Male population between the ages 10 to 14 as a percentage of the total male population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.0014.TO.ZS","Population âgée de 0 à 14 ans (% du total)","La population âgée de 0 à 14 ans en pourcentage de la population totale. La population est basée sur la définition de facto de la population.","Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.",
"SP.POP.0014.FE.ZS","Population âgée de 0 à 14 ans, femmes (% du total)","","",
"SH.MED.PHYS.ZS","Médecins (pour 1000 personnes)","Les médecins comprennent les généralistes et les spécialistes de la médecine.","Organisation mondiale de la santé, Atlas mondial de la santé au travail. Pour les plus récentes mises à jour et les métadonnées, voir http://apps.who.int/globalatlas/.",
"SH.IMM.MEAS","Immunisation, rougeole (% d’enfants âgés de 12 à 23 mois)","L'immunisation des enfants est le pourcentage des enfants de 12 à 23 mois qui ont reçu des vaccins avant l'âge de 12 mois ou avant le début de l'enquête. Un enfant est jugé suffisamment immunisé contre la rougeole après avoir reçu une dose de vaccin.","OMS et UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).",
"SH.HIV.INCD.ZS","Incidence du VIH (% de la population de 15 à 49 ans)","Number of new HIV infections among uninfected populations ages 15-49 expressed per 100 uninfected population in the year before the period.","UNAIDS estimates.",
"SH.HIV.INCD.TL","Nouveaux cas d’infection par le VIH chez les adultes (15 ans et plus) et les enfants (0-14 ans)","Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV.","UNAIDS estimates.",
"SH.HIV.1524.MA.ZS","Prévalence du VIH, hommes (% des hommes âgés de 15 à 24 ans)","La prévalence du VIH est le pourcentage des personnes infectées par le VIH. Les taux applicables aux jeunes sont des pourcentages du groupe d'âge approprié.","ONUSIDA estime.",
"SH.H2O.SMDW.UR.ZS","","","",
"SH.H2O.BASW.RU.ZS","","","",
"SH.DYN.NCOM.MA.ZS","","","",
"SH.DYN.MORT","Taux de mortalité infantile, moins de 5 ans (pour 1 000)","Le taux de mortalité des enfants de moins de cinq ans est la probabilité qu'un nouveau-né sur 1000 meurent avant d'atteindre l'âge de cinq ans s'il est assujetti aux taux de mortalité par âge pour l'année déterminée.","Estimations établies par le Groupe interinstitutions des Nations Unies pour l’estimation de la mortalité infantile (UNICEF, OMS, Banque mondiale et Division de la population du Département des affaires économiques et sociales des Nations Unies) —www.childmortality.org. Les projections de données sont issues des Perspectives de la population mondiale publiées par la Division de la population de l'ONU et peuvent parfois ne pas être cohérentes avec les données publiées avant l’année en cours.",
"SH.DYN.1519","","","",
"SH.DTH.NCOM.ZS","Cause de décès, par maladies non transmissibles (% du total)","Cause of death refers to the share of all deaths for all ages by underlying causes. Non-communicable diseases include cancer, diabetes mellitus, cardiovascular diseases, digestive diseases, skin diseases, musculoskeletal diseases, and congenital anomalies.","Calculs sur la base des données des Statistiques sanitaires mondiales de l’OMS.",
"SH.DTH.COMM.ZS","Cause de décès, par maladies transmissibles et pathologies associées à la grossesse, l’accouchement et la nutrition (% du total)","Cause of death refers to the share of all deaths for all ages by underlying causes. Communicable diseases and maternal, prenatal and nutrition conditions include infectious and parasitic diseases, respiratory infections, and nutritional deficiencies such as underweight and stunting.","Calculs sur la base des données des Statistiques sanitaires mondiales de l’OMS.",
"SH.DTH.0509","","","",
"SH.ANM.CHLD.ZS","Prévalence de l’anémie chez les enfants (% des enfants de moins de 5 ans)","Prevalence of anemia, non-pregnant women, is the percentage of non-pregnant women whose hemoglobin level is less than 120 grams per liter at sea level.","Stevens GA, Finucane MM, De-Regil LM, et al. Global, regional, and national trends in hemoglobin concentration and prevalence of total and severe anemia in children and pregnant and non-pregnant women for 1995-2011: a systematic analysis of population-representative data. The Lancet Global Health 2013; 1(1): e16-e25.",
"SH.ALC.PCAP.FE.LI","","","",
"SG.VAW.GOES.ZS","Part des femmes qui estiment qu’un homme a le droit de frapper son épouse si celle-ci sort de la maison sans l’avertir (%)","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him.","Enquêtes démographiques et sanitaires, Enquêtes en grappes à indicateurs multiples (MICS) et autres enquêtes : STATcompiler (http://www.statcompiler.com/) au 22 novembre 2016 ; bases de données mondiales de l’UNICEF (http://www.data.unicef.org/) au mois de novembre 2015. MICS Compiler (http://www.micscompiler.org/) au 12 juin 2016.",
"SG.TIM.UWRK.MA","","","",
"SG.DMK.SRCR.FN.ZS","","","",
"SE.XPD.TERT.ZS","Dépenses consacrées à l’enseignement supérieur (% des dépenses publiques consacrées à l’éducation)","Expenditure on education by level of education, expressed as a percentage of total general government expenditure on education. Divide government expenditure on a given level of education (ex. primary, secondary) by total government expenditure on education (all levels combined), and multiply by 100. A high percentage of government expenditure on education spent on a given level denotes a high priority given to that level compared to others. When interpreting this indicator, one should take into account enrolment at that level, and the relative costs per student between different levels of education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Institut des statistiques de l’Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO).",
"SE.XPD.PRIM.ZS","Part des dépenses publiques consacrées à l’enseignement primaire (% des dépenses de l’enseignement public)","Expenditure on education by level of education, expressed as a percentage of total general government expenditure on education. Divide government expenditure on a given level of education (ex. primary, secondary) by total government expenditure on education (all levels combined), and multiply by 100. A high percentage of government expenditure on education spent on a given level denotes a high priority given to that level compared to others. When interpreting this indicator, one should take into account enrolment at that level, and the relative costs per student between different levels of education. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/","Institut des statistiques de l’Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO).",
"SE.XPD.CSEC.ZS","Dépenses courantes consacrées à l’éducation, secondaire (% du total des dépenses dans l’enseignement secondaire public)","Current expenditure is expressed as a percentage of direct expenditure in public educational institutions (instructional and non-instructional) of the specified level of education. Financial aid to students and other transfers are excluded from direct expenditure. Current expenditure is consumed within the current year and would have to be renewed if needed in the following year. It includes staff compensation and current expenditure other than for staff compensation (ex. on teaching materials, ancillary services and administration).","Institut des statistiques de l’Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO).",
"SE.TER.ENRR.FE","Inscriptions à l’école, enseignement supérieur, filles (% brut)","Le taux brut de scolarisation est le rapport entre le nombre total des inscriptions, quel que soit l'âge, et la population de la tranche d'âge qui correspond officiellement au niveau d'enseignement concerné. L'éducation supérieure, qu'elle mène ou non à un agrément de recherche avancé, exige normalement au moins d'avoir terminé ses études secondaires.","Source : Institut des statistiques de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
"SE.TER.CUAT.ST.MA.ZS","Niveau d’éducation, études supérieures de cycle court au minimum, hommes de 25 ans et plus (%)","The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.","Institut de statistique de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
"SE.TER.CUAT.MS.FE.ZS","Niveau d éducation, master ou diplôme équivalent au minimum, femmes de 25 ans et plus (%)","The percentage of population ages 25 and over that attained or completed Master's or equivalent.","Institut de statistique de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
"SE.TER.CUAT.BA.ZS","Niveau d éducation, licence ou diplôme équivalent au minimum, population de 25 ans et plus (%)","The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.","Institut de statistique de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
"SE.SEC.UNER.LO.MA.ZS","Adolescents non scolarisés, garçons (% des garçons en âge de fréquenter le 1er cycle du secondaire)","Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school.","Institut de statistique de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
"SE.SEC.TCHR","Éducation secondaire, enseignants","Personnel enseignant du secondaire. Public et privé. À temps plein et à temps partiel. Tous les programmes. Total correspond au nombre total d'enseignants des établissements d'enseignement secondaire publics et privés (ISCED 2 et 3). Les enseignants sont des personnes employées à plein temps ou à temps partiel de manière officielle afin de guider et de diriger l'expérience d'apprentissage des élèves et des étudiants, sans tenir compte de leur qualification ou du moyen de formation, c'est-à-dire en face à face et/ou à distance. Cette définition exclut le personnel éducatif n'ayant pas de responsabilités enseignantes actives (directeurs et directrices ou chefs d'établissements qui n'enseignent pas) et les personnes qui travaillent occasionnellement ou à titre de volontariat dans des établissements scolaires.","Institut de statistique de l'UNESCO",
"SE.SEC.TCAQ.UP.FE.ZS","Enseignants qualifiés dans le 2e cycle du secondaire, femmes (% de la population enseignante féminine)","Trained teachers in upper secondary education are the percentage of upper secondary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.","Institut de statistique de l'Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",
